id,repository_name,file_path,class_name,human_written_code,class_skeleton,snippet_id,total_program_units,gpt-5_generated_code
17249,jbarlow83/OCRmyPDF,src/ocrmypdf/quality.py,ocrmypdf.quality.OcrQualityDictionary,"import re
from collections.abc import Iterable

class OcrQualityDictionary:
    """"""Manages a dictionary for simple OCR quality checks.""""""

    def __init__(self, *, wordlist: Iterable[str]):
        """"""Construct a dictionary from a list of words.

        Words for which capitalization is important should be capitalized in the
        dictionary. Words that contain spaces or other punctuation will never match.
        """"""
        self.dictionary = set(wordlist)

    def measure_words_matched(self, ocr_text: str) -> float:
        """"""Check how many unique words in the OCR text match a dictionary.

        Words with mixed capitalized are only considered a match if the test word
        matches that capitalization.

        Returns:
            number of words that match / number
        """"""
        text = re.sub('[0-9_]+', ' ', ocr_text)
        text = re.sub('\\W+', ' ', text)
        text_words_list = re.split('\\s+', text)
        text_words = {w for w in text_words_list if len(w) >= 3}
        matches = 0
        for w in text_words:
            if w in self.dictionary or (w != w.lower() and w.lower() in self.dictionary):
                matches += 1
        if matches > 0:
            hit_ratio = matches / len(text_words)
        else:
            hit_ratio = 0.0
        return hit_ratio","
class OcrQualityDictionary:
    
    def __init__(self, *, wordlist: Iterable[str]):
        
        pass
    def measure_words_matched(self, ocr_text: str) -> float:
        
        pass",snippet_2,3,"from typing import Iterable, Set
import re
import unicodedata


class OcrQualityDictionary:
    def __init__(self, *, wordlist: Iterable[str]):
        self._dict: Set[str] = set()
        for w in wordlist:
            if w is None:
                continue
            nw = self._normalize_word(str(w))
            if nw:
                self._dict.add(nw)

        # precompile regex for tokenization (unicode word chars + apostrophes)
        self._token_re = re.compile(r""\b[\w']+\b"", re.UNICODE)

    def _normalize_word(self, w: str) -> str:
        w = unicodedata.normalize(""NFKC"", w).casefold().strip()
        # strip leading/trailing apostrophes commonly appearing in OCR
        w = w.strip(""'’`"")
        return w

    def _tokenize(self, text: str):
        for m in self._token_re.finditer(text):
            tok = self._normalize_word(m.group(0))
            if not tok:
                continue
            # consider tokens that include at least one letter to avoid counting pure numbers/underscores
            if any(c.isalpha() for c in tok):
                yield tok

    def measure_words_matched(self, ocr_text: str) -> float:
        tokens = list(self._tokenize(ocr_text))
        if not tokens or not self._dict:
            return 0.0
        matched = sum(1 for t in tokens if t in self._dict)
        return matched / len(tokens)"
19627,slundberg/shap,slundberg_shap/shap/_serializable.py,shap._serializable.Serializable,"import inspect
import pickle

class Serializable:
    """"""This is the superclass of all serializable objects.""""""

    def save(self, out_file):
        """"""Save the model to the given file stream.""""""
        pickle.dump(type(self), out_file)

    @classmethod
    def load(cls, in_file, instantiate=True):
        """"""This is meant to be overridden by subclasses and called with super.

        We return constructor argument values when not being instantiated. Since there are no
        constructor arguments for the Serializable class we just return an empty dictionary.
        """"""
        if instantiate:
            return cls._instantiated_load(in_file)
        return {}

    @classmethod
    def _instantiated_load(cls, in_file, **kwargs):
        """"""This is meant to be overridden by subclasses and called with super.

        We return constructor argument values (we have no values to load in this abstract class).
        """"""
        obj_type = pickle.load(in_file)
        if obj_type is None:
            return None
        if not inspect.isclass(obj_type) or (not issubclass(obj_type, cls) and obj_type is not cls):
            raise Exception(f'Invalid object type loaded from file. {obj_type} is not a subclass of {cls}.')
        constructor_args = obj_type.load(in_file, instantiate=False, **kwargs)
        used_args = inspect.getfullargspec(obj_type.__init__)[0]
        return obj_type(**{k: constructor_args[k] for k in constructor_args if k in used_args})","
class Serializable:
    
    def save(self, out_file):
        
        pass
    @classmethod
    def load(cls, in_file, instantiate=True):
        
        pass
    @classmethod
    def _instantiated_load(cls, in_file, **kwargs):
        
        pass",snippet_3,4,"class Serializable:
    def save(self, out_file):
        import pickle
        import io

        data = {
            ""module"": self.__class__.__module__,
            ""class"": self.__class__.__name__,
            ""state"": self.__getstate__() if hasattr(self, ""__getstate__"") else dict(getattr(self, ""__dict__"", {})),
        }

        if isinstance(out_file, (str, bytes, bytearray)):
            # If it's a path (str) or buffer (bytes/bytearray)
            if isinstance(out_file, str):
                with open(out_file, ""wb"") as f:
                    pickle.dump(data, f, protocol=pickle.HIGHEST_PROTOCOL)
            else:
                # bytes/bytearray -> treat as buffer and return bytes
                bio = io.BytesIO()
                pickle.dump(data, bio, protocol=pickle.HIGHEST_PROTOCOL)
                if isinstance(out_file, bytearray):
                    out_file[:] = bio.getvalue()
                else:
                    # bytes are immutable; return bytes to caller by raising TypeError is unhelpful.
                    # Instead, do nothing; caller should provide a writable file-like for bytes.
                    pass
        elif hasattr(out_file, ""write""):
            pickle.dump(data, out_file, protocol=pickle.HIGHEST_PROTOCOL)
        else:
            raise TypeError(""out_file must be a filepath string or a writable binary file-like object"")

    @classmethod
    def load(cls, in_file, instantiate=True):
        import pickle
        import io

        def _read_data(source):
            if isinstance(source, (bytes, bytearray)):
                return pickle.loads(bytes(source))
            if isinstance(source, str):
                with open(source, ""rb"") as f:
                    return pickle.load(f)
            if hasattr(source, ""read""):
                return pickle.load(source)
            raise TypeError(""in_file must be a filepath string, bytes/bytearray, or a readable binary file-like object"")

        if not instantiate:
            return _read_data(in_file)
        return cls._instantiated_load(in_file)

    @classmethod
    def _instantiated_load(cls, in_file, **kwargs):
        import pickle
        import importlib
        import io

        def _read_data(source):
            if isinstance(source, (bytes, bytearray)):
                return pickle.loads(bytes(source))
            if isinstance(source, str):
                with open(source, ""rb"") as f:
                    return pickle.load(f)
            if hasattr(source, ""read""):
                return pickle.load(source)
            raise TypeError(""in_file must be a filepath string, bytes/bytearray, or a readable binary file-like object"")

        data = _read_data(in_file)
        state = kwargs.get(""state"", data.get(""state"", {}))
        module_name = data.get(""module"")
        class_name = data.get(""class"")

        target_cls = cls
        if module_name and class_name:
            try:
                mod = importlib.import_module(module_name)
                loaded_cls = getattr(mod, class_name, None)
                if isinstance(loaded_cls, type):
                    target_cls = loaded_cls
            except Exception:
                pass

        obj = target_cls.__new__(target_cls)
        if hasattr(obj, ""__setstate__""):
            obj.__setstate__(state)
        else:
            if hasattr(obj, ""__dict__"") and isinstance(state, dict):
                obj.__dict__.update(state)
        return obj"
19720,audreyr/cookiecutter,audreyr_cookiecutter/cookiecutter/environment.py,cookiecutter.environment.ExtensionLoaderMixin,"from cookiecutter.exceptions import UnknownExtension
from typing import Any

class ExtensionLoaderMixin:
    """"""Mixin providing sane loading of extensions specified in a given context.

    The context is being extracted from the keyword arguments before calling
    the next parent class in line of the child.
    """"""

    def __init__(self, *, context: dict[str, Any] | None=None, **kwargs: Any) -> None:
        """"""Initialize the Jinja2 Environment object while loading extensions.

        Does the following:

        1. Establishes default_extensions (currently just a Time feature)
        2. Reads extensions set in the cookiecutter.json _extensions key.
        3. Attempts to load the extensions. Provides useful error if fails.
        """"""
        context = context or {}
        default_extensions = ['cookiecutter.extensions.JsonifyExtension', 'cookiecutter.extensions.RandomStringExtension', 'cookiecutter.extensions.SlugifyExtension', 'cookiecutter.extensions.TimeExtension', 'cookiecutter.extensions.UUIDExtension']
        extensions = default_extensions + self._read_extensions(context)
        try:
            super().__init__(extensions=extensions, **kwargs)
        except ImportError as err:
            msg = f'Unable to load extension: {err}'
            raise UnknownExtension(msg) from err

    def _read_extensions(self, context: dict[str, Any]) -> list[str]:
        """"""Return list of extensions as str to be passed on to the Jinja2 env.

        If context does not contain the relevant info, return an empty
        list instead.
        """"""
        try:
            extensions = context['cookiecutter']['_extensions']
        except KeyError:
            return []
        else:
            return [str(ext) for ext in extensions]","
class ExtensionLoaderMixin:
    
    def __init__(self, *, context: dict[str, Any] | None=None, **kwargs: Any) -> None:
        
        pass
    def _read_extensions(self, context: dict[str, Any]) -> list[str]:
        
        pass",snippet_5,3,"from typing import Any, Iterable

class ExtensionLoaderMixin:
    
    def __init__(self, *, context: dict[str, Any] | None = None, **kwargs: Any) -> None:
        # Be cooperative in multiple-inheritance scenarios
        try:
            super().__init__(**kwargs)  # type: ignore[misc]
        except TypeError:
            # Parent may not accept kwargs or have no __init__
            pass

        self._context: dict[str, Any] = dict(context) if context else {}
        self.extensions: list[str] = self._read_extensions(self._context)

    def _read_extensions(self, context: dict[str, Any]) -> list[str]:
        def to_list(value: Any) -> list[str]:
            if value is None:
                return []
            if isinstance(value, str):
                parts = [p.strip() for p in value.replace(""\n"", "" "").split("","")]
                flat: list[str] = []
                for part in parts:
                    if not part:
                        continue
                    flat.extend([x for x in part.split() if x])
                return flat
            if isinstance(value, dict):
                raise TypeError(""Extensions cannot be provided as a dict."")
            if isinstance(value, Iterable):
                out: list[str] = []
                for v in value:
                    s = str(v).strip()
                    if s:
                        out.append(s)
                return out
            return [str(value).strip()] if str(value).strip() else []

        # Prefer 'extensions', fall back to 'extension'
        raw = None
        if ""extensions"" in context:
            raw = context.get(""extensions"")
        elif ""extension"" in context:
            raw = context.get(""extension"")

        items = to_list(raw)
        # Deduplicate while preserving order
        seen: set[str] = set()
        result: list[str] = []
        for item in items:
            if item not in seen:
                seen.add(item)
                result.append(item)
        return result"
21340,Delgan/loguru,loguru/_recattrs.py,loguru._recattrs.RecordFile,"class RecordFile:
    """"""A class representing a file record with name and path.

    Attributes
    ----------
    name : str
        The name of the file
    path : str
        The path to the file
    """"""
    __slots__ = ('name', 'path')

    def __init__(self, name, path):
        """"""Initialize a RecordFile instance.

        Parameters
        ----------
        name : str
            The name of the file
        path : str
            The path to the file
        """"""
        self.name = name
        self.path = path

    def __repr__(self):
        """"""Return string representation of RecordFile.

        Returns
        -------
        str
            Formatted string with name and path
        """"""
        return '(name=%r, path=%r)' % (self.name, self.path)

    def __format__(self, spec):
        """"""Format the RecordFile instance.

        Parameters
        ----------
        spec : str
            Format specification

        Returns
        -------
        str
            Formatted name according to specification
        """"""
        return self.name.__format__(spec)","class RecordFile:
    
    def __init__(self, name, path):
        
        pass
    def __repr__(self):
        
        pass
    def __format__(self, spec):
        
        pass",snippet_6,4,"class RecordFile:
    
    def __init__(self, name, path):
        from pathlib import Path
        self.name = str(name)
        self.path = Path(path)

    def __repr__(self):
        return f""RecordFile(name={self.name!r}, path={str(self.path)!r})""

    def __format__(self, spec):
        s = spec.strip()
        if not s:
            return str(self)
        key = s.lower()
        if key in (""n"", ""name""):
            return self.name
        if key in (""p"", ""path""):
            return str(self.path)
        if key in (""f"", ""full"", ""fullpath"", ""filepath""):
            return str(self.path / self.name)
        return str(self)"
21341,Delgan/loguru,loguru/_recattrs.py,loguru._recattrs.RecordLevel,"class RecordLevel:
    """"""A class representing the logging level record with name, number and icon.

    Attributes
    ----------
    icon : str
        The icon representing the log level
    name : str
        The name of the log level
    no : int
        The numeric value of the log level
    """"""
    __slots__ = ('icon', 'name', 'no')

    def __init__(self, name, no, icon):
        """"""Initialize a RecordLevel instance.

        Parameters
        ----------
        name : str
            The name of the log level
        no : int
            The numeric value of the log level
        icon : str
            The icon representing the log level
        """"""
        self.name = name
        self.no = no
        self.icon = icon

    def __repr__(self):
        """"""Return string representation of RecordLevel.

        Returns
        -------
        str
            Formatted string with name, number and icon
        """"""
        return '(name=%r, no=%r, icon=%r)' % (self.name, self.no, self.icon)

    def __format__(self, spec):
        """"""Format the RecordLevel instance.

        Parameters
        ----------
        spec : str
            Format specification

        Returns
        -------
        str
            Formatted name according to specification
        """"""
        return self.name.__format__(spec)","class RecordLevel:
    
    def __init__(self, name, no, icon):
        
        pass
    def __repr__(self):
        
        pass
    def __format__(self, spec):
        
        pass",snippet_7,4,"class RecordLevel:
    
    def __init__(self, name, no, icon):
        self.name = name
        self.no = no
        self.icon = icon

    def __repr__(self):
        return f""RecordLevel(name={self.name!r}, no={self.no!r}, icon={self.icon!r})""

    def __format__(self, spec):
        if not spec:
            return repr(self)
        if spec in ('name', 'n'):
            return format(self.name, '')
        if spec in ('no', 'd'):
            return format(self.no, '')
        if spec in ('icon', 'i'):
            return format(self.icon, '')
        if '{' in spec and '}' in spec:
            try:
                return spec.format(name=self.name, no=self.no, icon=self.icon)
            except Exception:
                pass
        return format(repr(self), spec)"
21342,Delgan/loguru,loguru/_recattrs.py,loguru._recattrs.RecordProcess,"class RecordProcess:
    """"""A class representing a process record with ID and name.

    Attributes
    ----------
    id : int
        The process ID
    name : str
        The process name
    """"""
    __slots__ = ('id', 'name')

    def __init__(self, id_, name):
        """"""Initialize a RecordProcess instance.

        Parameters
        ----------
        id_ : int
            The process ID
        name : str
            The process name
        """"""
        self.id = id_
        self.name = name

    def __repr__(self):
        """"""Return string representation of RecordProcess.

        Returns
        -------
        str
            Formatted string with id and name
        """"""
        return '(id=%r, name=%r)' % (self.id, self.name)

    def __format__(self, spec):
        """"""Format the RecordProcess instance.

        Parameters
        ----------
        spec : str
            Format specification

        Returns
        -------
        str
            Formatted ID according to specification
        """"""
        return self.id.__format__(spec)","class RecordProcess:
    
    def __init__(self, id_, name):
        
        pass
    def __repr__(self):
        
        pass
    def __format__(self, spec):
        
        pass",snippet_8,4,"class RecordProcess:
    
    def __init__(self, id_, name):
        self.id_ = id_
        self.name = name

    def __repr__(self):
        return f""RecordProcess(id_={self.id_!r}, name={self.name!r})""

    def __format__(self, spec):
        if not spec:
            return f""{self.name}({self.id_})""
        if spec in (""r"", ""repr""):
            return repr(self)
        if spec.startswith(""name""):
            sub = spec[4:]
            if sub.startswith("":""):
                sub = sub[1:]
            return format(self.name, sub)
        if spec.startswith(""id""):
            sub = spec[2:]
            if sub.startswith("":""):
                sub = sub[1:]
            return format(self.id_, sub)
        return format(f""{self.name}({self.id_})"", spec)"
21343,Delgan/loguru,loguru/_recattrs.py,loguru._recattrs.RecordThread,"class RecordThread:
    """"""A class representing a thread record with ID and name.

    Attributes
    ----------
    id : int
        The thread ID
    name : str
        The thread name
    """"""
    __slots__ = ('id', 'name')

    def __init__(self, id_, name):
        """"""Initialize a RecordThread instance.

        Parameters
        ----------
        id_ : int
            The thread ID
        name : str
            The thread name
        """"""
        self.id = id_
        self.name = name

    def __repr__(self):
        """"""Return string representation of RecordThread.

        Returns
        -------
        str
            Formatted string with id and name
        """"""
        return '(id=%r, name=%r)' % (self.id, self.name)

    def __format__(self, spec):
        """"""Format the RecordThread instance.

        Parameters
        ----------
        spec : str
            Format specification

        Returns
        -------
        str
            Formatted ID according to specification
        """"""
        return self.id.__format__(spec)","class RecordThread:
    
    def __init__(self, id_, name):
        
        pass
    def __repr__(self):
        
        pass
    def __format__(self, spec):
        
        pass",snippet_9,4,"class RecordThread:
    
    def __init__(self, id_, name):
        self.id = id_
        self.name = name

    def __repr__(self):
        return f""RecordThread(id_={self.id!r}, name={self.name!r})""

    def __format__(self, spec):
        if spec is None:
            spec = """"
        if spec == """" or spec in (""r"", ""repr""):
            return str(self)
        if spec in (""n"", ""name""):
            return format(self.name, """")
        if spec.startswith(""n:"") or spec.startswith(""name:""):
            _, inner = spec.split("":"", 1)
            return format(self.name, inner)
        if spec in (""i"", ""id""):
            return format(self.id, """")
        if spec.startswith(""i:"") or spec.startswith(""id:""):
            _, inner = spec.split("":"", 1)
            return format(self.id, inner)
        return format(str(self), spec)"
33971,Miserlou/Zappa,Miserlou_Zappa/zappa/asynchronous.py,zappa.asynchronous.LambdaAsyncResponse,"import json
import uuid

class LambdaAsyncResponse:
    """"""
    Base Response Dispatcher class
    Can be used directly or subclassed if the method to send the message is changed.
    """"""

    def __init__(self, lambda_function_name=None, aws_region=None, capture_response=False, **kwargs):
        """""" """"""
        if kwargs.get('boto_session'):
            self.client = kwargs.get('boto_session').client('lambda')
        else:
            self.client = LAMBDA_CLIENT
        self.lambda_function_name = lambda_function_name
        self.aws_region = aws_region
        if capture_response:
            if ASYNC_RESPONSE_TABLE is None:
                print(""Warning! Attempted to capture a response without async_response_table configured in settings (you won't capture async responses)."")
                capture_response = False
                self.response_id = 'MISCONFIGURED'
            else:
                self.response_id = str(uuid.uuid4())
        else:
            self.response_id = None
        self.capture_response = capture_response

    def send(self, task_path, args, kwargs):
        """"""
        Create the message object and pass it to the actual sender.
        """"""
        message = {'task_path': task_path, 'capture_response': self.capture_response, 'response_id': self.response_id, 'args': args, 'kwargs': kwargs}
        self._send(message)
        return self

    def _send(self, message):
        """"""
        Given a message, directly invoke the lamdba function for this task.
        """"""
        message['command'] = 'zappa.asynchronous.route_lambda_task'
        payload = json.dumps(message).encode('utf-8')
        if len(payload) > LAMBDA_ASYNC_PAYLOAD_LIMIT:
            raise AsyncException('Payload too large for async Lambda call')
        self.response = self.client.invoke(FunctionName=self.lambda_function_name, InvocationType='Event', Payload=payload)
        self.sent = self.response.get('StatusCode', 0) == 202","
class LambdaAsyncResponse:
    
    def __init__(self, lambda_function_name=None, aws_region=None, capture_response=False, **kwargs):
        
        pass
    def send(self, task_path, args, kwargs):
        
        pass

    def _send(self, message):
        
        pass",snippet_10,4,"import json
from typing import Any, Dict, Optional

try:
    import boto3
    from botocore.exceptions import BotoCoreError, ClientError
except Exception:  # pragma: no cover
    boto3 = None
    BotoCoreError = Exception
    ClientError = Exception


class LambdaAsyncResponse:
    
    def __init__(self, lambda_function_name: Optional[str] = None, aws_region: Optional[str] = None, capture_response: bool = False, **kwargs):
        if not lambda_function_name:
            raise ValueError(""lambda_function_name is required"")
        if boto3 is None:
            raise RuntimeError(""boto3 is required to use LambdaAsyncResponse"")
        self.lambda_function_name = lambda_function_name
        self.aws_region = aws_region
        self.capture_response = capture_response
        self._invoke_extra: Dict[str, Any] = {}
        # Allow passing additional invoke parameters, e.g., Qualifier, ClientContext
        if kwargs:
            self._invoke_extra.update(kwargs)
        self._client = boto3.client(""lambda"", region_name=self.aws_region)

    def send(self, task_path, args, kwargs):
        message = {
            ""task"": task_path,
            ""args"": args if args is not None else [],
            ""kwargs"": kwargs if kwargs is not None else {},
        }
        return self._send(message)

    def _send(self, message):
        try:
            payload_bytes = json.dumps(message, default=self._json_default).encode(""utf-8"")
        except (TypeError, ValueError) as exc:
            raise TypeError(f""Message is not JSON serializable: {exc}"") from exc

        params: Dict[str, Any] = {
            ""FunctionName"": self.lambda_function_name,
            ""InvocationType"": ""RequestResponse"" if self.capture_response else ""Event"",
            ""Payload"": payload_bytes,
        }
        # Merge any extra invoke parameters provided at init
        if self._invoke_extra:
            params.update(self._invoke_extra)

        try:
            response = self._client.invoke(**params)
        except (BotoCoreError, ClientError) as exc:
            raise RuntimeError(f""Failed to invoke Lambda '{self.lambda_function_name}': {exc}"") from exc

        status_code = response.get(""StatusCode"")
        request_id = response.get(""ResponseMetadata"", {}).get(""RequestId"")

        if not self.capture_response:
            return {
                ""StatusCode"": status_code,
                ""RequestId"": request_id,
            }

        # When capturing response, parse Payload
        payload_stream = response.get(""Payload"")
        raw = None
        parsed = None
        if payload_stream is not None:
            try:
                raw = payload_stream.read()
            finally:
                try:
                    payload_stream.close()
                except Exception:
                    pass
            if isinstance(raw, (bytes, bytearray)):
                text = raw.decode(""utf-8"") if raw else """"
            else:
                text = str(raw) if raw is not None else """"
            # Try to parse JSON; fall back to raw text
            try:
                parsed = json.loads(text) if text else None
            except json.JSONDecodeError:
                parsed = text

        result = {
            ""StatusCode"": status_code,
            ""RequestId"": request_id,
            ""FunctionError"": response.get(""FunctionError""),
            ""ExecutedVersion"": response.get(""ExecutedVersion""),
            ""Payload"": parsed,
        }
        return result

    @staticmethod
    def _json_default(obj):
        raise TypeError(f""Object of type {type(obj).__name__} is not JSON serializable"")"
44118,LonamiWebs/Telethon,LonamiWebs_Telethon/telethon/crypto/aesctr.py,telethon.crypto.aesctr.AESModeCTR,"import pyaes

class AESModeCTR:
    """"""Wrapper around pyaes.AESModeOfOperationCTR mode with custom IV""""""

    def __init__(self, key, iv):
        """"""
        Initializes the AES CTR mode with the given key/iv pair.

        :param key: the key to be used as bytes.
        :param iv: the bytes initialization vector. Must have a length of 16.
        """"""
        assert isinstance(key, bytes)
        self._aes = pyaes.AESModeOfOperationCTR(key)
        assert isinstance(iv, bytes)
        assert len(iv) == 16
        self._aes._counter._counter = list(iv)

    def encrypt(self, data):
        """"""
        Encrypts the given plain text through AES CTR.

        :param data: the plain text to be encrypted.
        :return: the encrypted cipher text.
        """"""
        return self._aes.encrypt(data)

    def decrypt(self, data):
        """"""
        Decrypts the given cipher text through AES CTR

        :param data: the cipher text to be decrypted.
        :return: the decrypted plain text.
        """"""
        return self._aes.decrypt(data)","
class AESModeCTR:
    
    def __init__(self, key, iv):
        
        pass
    def encrypt(self, data):
        
        pass

    def decrypt(self, data):
        
        pass",snippet_11,4,"class AESModeCTR:
    
    def __init__(self, key, iv):
        try:
            from Crypto.Cipher import AES  # noqa: F401
            from Crypto.Util import Counter  # noqa: F401
        except ImportError:
            raise ImportError(""PyCryptodome is required. Install with: pip install pycryptodome"")
        if not isinstance(key, (bytes, bytearray)):
            raise TypeError(""key must be bytes"")
        if len(key) not in (16, 24, 32):
            raise ValueError(""key must be 16, 24, or 32 bytes"")
        if not isinstance(iv, (bytes, bytearray)):
            raise TypeError(""iv must be bytes"")
        if len(iv) != 16:
            raise ValueError(""iv must be 16 bytes for AES-CTR initial counter value"")
        self._key = bytes(key)
        self._iv = bytes(iv)

    def _new_cipher(self):
        from Crypto.Cipher import AES
        from Crypto.Util import Counter
        initial_value = int.from_bytes(self._iv, byteorder=""big"", signed=False)
        ctr = Counter.new(128, initial_value=initial_value)
        return AES.new(self._key, AES.MODE_CTR, counter=ctr)

    def encrypt(self, data):
        if not isinstance(data, (bytes, bytearray)):
            raise TypeError(""data must be bytes"")
        cipher = self._new_cipher()
        return cipher.encrypt(bytes(data))

    def decrypt(self, data):
        if not isinstance(data, (bytes, bytearray)):
            raise TypeError(""data must be bytes"")
        cipher = self._new_cipher()
        return cipher.decrypt(bytes(data))"
44121,LonamiWebs/Telethon,LonamiWebs_Telethon/telethon/crypto/factorization.py,telethon.crypto.factorization.Factorization,"from random import randint

class Factorization:
    """"""
    Simple module to factorize large numbers really quickly.
    """"""

    @classmethod
    def factorize(cls, pq):
        """"""
        Factorizes the given large integer.

        Implementation from https://comeoncodeon.wordpress.com/2010/09/18/pollard-rho-brent-integer-factorization/.

        :param pq: the prime pair pq.
        :return: a tuple containing the two factors p and q.
        """"""
        if pq % 2 == 0:
            return (2, pq // 2)
        y, c, m = (randint(1, pq - 1), randint(1, pq - 1), randint(1, pq - 1))
        g = r = q = 1
        x = ys = 0
        while g == 1:
            x = y
            for i in range(r):
                y = (pow(y, 2, pq) + c) % pq
            k = 0
            while k < r and g == 1:
                ys = y
                for i in range(min(m, r - k)):
                    y = (pow(y, 2, pq) + c) % pq
                    q = q * abs(x - y) % pq
                g = cls.gcd(q, pq)
                k += m
            r *= 2
        if g == pq:
            while True:
                ys = (pow(ys, 2, pq) + c) % pq
                g = cls.gcd(abs(x - ys), pq)
                if g > 1:
                    break
        p, q = (g, pq // g)
        return (p, q) if p < q else (q, p)

    @staticmethod
    def gcd(a, b):
        """"""
        Calculates the Greatest Common Divisor.

        :param a: the first number.
        :param b: the second number.
        :return: GCD(a, b)
        """"""
        while b:
            a, b = (b, a % b)
        return a","
class Factorization:
    
    @classmethod
    def factorize(cls, pq):
        
        pass
    @staticmethod
    def gcd(a, b):
        
        pass",snippet_12,3,"class Factorization:
    
    @classmethod
    def factorize(cls, pq):
        n = abs(int(pq))
        if n < 2:
            return (n, 1)
        if n % 2 == 0:
            return (2, n // 2)
        i = 3
        while i * i <= n:
            if n % i == 0:
                return (i, n // i)
            i += 2
        return (n, 1)

    @staticmethod
    def gcd(a, b):
        a, b = abs(int(a)), abs(int(b))
        while b:
            a, b = b, a % b
        return a"
