id,repository_name,file_path,class_name,human_written_code,class_skeleton,snippet_id,total_program_units,openai/gpt-oss-20b_generated_code
17249,jbarlow83/OCRmyPDF,src/ocrmypdf/quality.py,ocrmypdf.quality.OcrQualityDictionary,"import re
from collections.abc import Iterable

class OcrQualityDictionary:
    """"""Manages a dictionary for simple OCR quality checks.""""""

    def __init__(self, *, wordlist: Iterable[str]):
        """"""Construct a dictionary from a list of words.

        Words for which capitalization is important should be capitalized in the
        dictionary. Words that contain spaces or other punctuation will never match.
        """"""
        self.dictionary = set(wordlist)

    def measure_words_matched(self, ocr_text: str) -> float:
        """"""Check how many unique words in the OCR text match a dictionary.

        Words with mixed capitalized are only considered a match if the test word
        matches that capitalization.

        Returns:
            number of words that match / number
        """"""
        text = re.sub('[0-9_]+', ' ', ocr_text)
        text = re.sub('\\W+', ' ', text)
        text_words_list = re.split('\\s+', text)
        text_words = {w for w in text_words_list if len(w) >= 3}
        matches = 0
        for w in text_words:
            if w in self.dictionary or (w != w.lower() and w.lower() in self.dictionary):
                matches += 1
        if matches > 0:
            hit_ratio = matches / len(text_words)
        else:
            hit_ratio = 0.0
        return hit_ratio","
class OcrQualityDictionary:
    
    def __init__(self, *, wordlist: Iterable[str]):
        
        pass
    def measure_words_matched(self, ocr_text: str) -> float:
        
        pass",snippet_2,3,"```python
import re
from typing import Iterable, Set


class OcrQualityDictionary:
    def __init__(self, *, wordlist: Iterable[str]):
        # Store the dictionary words in a set for fast lookup, normalised to lowercase
        self._dict_set: Set[str] = {word.lower() for word in wordlist}

    def measure_words_matched(self, ocr_text: str) -> float:
        """"""
        Return the fraction of words in `ocr_text` that are present in the dictionary.
        Words are extracted using a simple word boundary regex and compared case‑insensitively.
        If the input contains no words, 0.0 is returned.
        """"""
        # Extract words (alphanumeric sequences) from the OCR text
        words = re.findall(r""\b\w+\b"", ocr_text)
        if not words:
            return 0.0

        # Count matches
        matched = sum(1 for w in words if w.lower() in self._dict_set)
        return matched / len(words)
```"
19627,slundberg/shap,slundberg_shap/shap/_serializable.py,shap._serializable.Serializable,"import inspect
import pickle

class Serializable:
    """"""This is the superclass of all serializable objects.""""""

    def save(self, out_file):
        """"""Save the model to the given file stream.""""""
        pickle.dump(type(self), out_file)

    @classmethod
    def load(cls, in_file, instantiate=True):
        """"""This is meant to be overridden by subclasses and called with super.

        We return constructor argument values when not being instantiated. Since there are no
        constructor arguments for the Serializable class we just return an empty dictionary.
        """"""
        if instantiate:
            return cls._instantiated_load(in_file)
        return {}

    @classmethod
    def _instantiated_load(cls, in_file, **kwargs):
        """"""This is meant to be overridden by subclasses and called with super.

        We return constructor argument values (we have no values to load in this abstract class).
        """"""
        obj_type = pickle.load(in_file)
        if obj_type is None:
            return None
        if not inspect.isclass(obj_type) or (not issubclass(obj_type, cls) and obj_type is not cls):
            raise Exception(f'Invalid object type loaded from file. {obj_type} is not a subclass of {cls}.')
        constructor_args = obj_type.load(in_file, instantiate=False, **kwargs)
        used_args = inspect.getfullargspec(obj_type.__init__)[0]
        return obj_type(**{k: constructor_args[k] for k in constructor_args if k in used_args})","
class Serializable:
    
    def save(self, out_file):
        
        pass
    @classmethod
    def load(cls, in_file, instantiate=True):
        
        pass
    @classmethod
    def _instantiated_load(cls, in_file, **kwargs):
        
        pass",snippet_3,4,"```python
import pickle
from typing import Any, Type, TypeVar, Union, IO

T = TypeVar('T', bound='Serializable')


class Serializable:
    """"""
    A simple mixin that provides pickle‑based serialization.
    """"""

    def save(self, out_file: Union[str, IO[bytes]]) -> None:
        """"""
        Serialize the instance to the given file object or file path.

        Parameters
        ----------
        out_file : str or file-like object
            Destination for the pickled data. If a string is provided,
            it is treated as a file path and opened in binary write mode.
        """"""
        if isinstance(out_file, str):
            with open(out_file, 'wb') as f:
                pickle.dump(self, f)
        else:
            pickle.dump(self, out_file)

    @classmethod
    def load(cls: Type[T], in_file: Union[str, IO[bytes]], instantiate: bool = True) -> Union[T, Any]:
        """"""
        Load a pickled object from the given file object or file path.

        Parameters
        ----------
        in_file : str or file-like object
            Source of the pickled data. If a string is provided,
            it is treated as a file path and opened in binary read mode.
        instantiate : bool, default True
            If True, return the deserialized instance.
            If False, return the raw data (useful for custom handling).

        Returns
        -------
        T or Any
            The deserialized object or raw data.
        """"""
        if isinstance(in_file, str):
            with open(in_file, 'rb') as f:
                data = pickle.load(f)
        else:
            data = pickle.load(in_file)

        if instantiate:
            return cls._instantiated_load(data)
        return data

    @classmethod
    def _instantiated_load(cls: Type[T], data: Any, **kwargs: Any) -> T:
        """"""
        Helper that returns an instance of the class from the loaded data.
        Any keyword arguments are applied as attributes to the instance.

        Parameters
        ----------
        data : Any
            The object returned by pickle.load.
        **kwargs : Any
            Attributes to set on the instance after loading.

        Returns
        -------
        T
            The instance of the class.
        """"""
        if not isinstance(data, cls):
            raise TypeError(f""Loaded object is not an instance of {cls.__name__}"")
        for key, value in kwargs.items():
            setattr(data, key, value)
        return data
```"
19720,audreyr/cookiecutter,audreyr_cookiecutter/cookiecutter/environment.py,cookiecutter.environment.ExtensionLoaderMixin,"from cookiecutter.exceptions import UnknownExtension
from typing import Any

class ExtensionLoaderMixin:
    """"""Mixin providing sane loading of extensions specified in a given context.

    The context is being extracted from the keyword arguments before calling
    the next parent class in line of the child.
    """"""

    def __init__(self, *, context: dict[str, Any] | None=None, **kwargs: Any) -> None:
        """"""Initialize the Jinja2 Environment object while loading extensions.

        Does the following:

        1. Establishes default_extensions (currently just a Time feature)
        2. Reads extensions set in the cookiecutter.json _extensions key.
        3. Attempts to load the extensions. Provides useful error if fails.
        """"""
        context = context or {}
        default_extensions = ['cookiecutter.extensions.JsonifyExtension', 'cookiecutter.extensions.RandomStringExtension', 'cookiecutter.extensions.SlugifyExtension', 'cookiecutter.extensions.TimeExtension', 'cookiecutter.extensions.UUIDExtension']
        extensions = default_extensions + self._read_extensions(context)
        try:
            super().__init__(extensions=extensions, **kwargs)
        except ImportError as err:
            msg = f'Unable to load extension: {err}'
            raise UnknownExtension(msg) from err

    def _read_extensions(self, context: dict[str, Any]) -> list[str]:
        """"""Return list of extensions as str to be passed on to the Jinja2 env.

        If context does not contain the relevant info, return an empty
        list instead.
        """"""
        try:
            extensions = context['cookiecutter']['_extensions']
        except KeyError:
            return []
        else:
            return [str(ext) for ext in extensions]","
class ExtensionLoaderMixin:
    
    def __init__(self, *, context: dict[str, Any] | None=None, **kwargs: Any) -> None:
        
        pass
    def _read_extensions(self, context: dict[str, Any]) -> list[str]:
        
        pass",snippet_5,3,"```python
from __future__ import annotations

from typing import Any, Dict, List, Optional


class ExtensionLoaderMixin:
    """"""
    A mixin that provides a simple mechanism for loading extensions from a
    context dictionary.  The context can be supplied either via the ``context``
    keyword argument or via arbitrary keyword arguments passed to ``__init__``.
    The extensions are expected to be stored under the key ``""extensions""``
    (or ``""extension""`` for backward compatibility) and must be an iterable
    of strings.
    """"""

    def __init__(
        self,
        *,
        context: Optional[Dict[str, Any]] = None,
        **kwargs: Any,
    ) -> None:
        """"""
        Initialise the mixin.

        Parameters
        ----------
        context:
            Optional dictionary containing configuration values.  If omitted,
            an empty dictionary is used.
        **kwargs:
            Additional keyword arguments are merged into the context.  This
            allows callers to provide configuration values directly without
            constructing a dictionary.
        """"""
        # Start with a copy of the supplied context or an empty dict
        self._context: Dict[str, Any] = dict(context or {})
        # Merge any additional keyword arguments into the context
        self._context.update(kwargs)

    def _read_extensions(self, context: Dict[str, Any]) -> List[str]:
        """"""
        Extract a list of extensions from the provided context.

        The method looks for the key ``""extensions""`` first.  If it is not
        present, it falls back to ``""extension""`` for backward compatibility.
        The value must be an iterable of strings; otherwise a ``ValueError`` is
        raised.

        Parameters
        ----------
        context:
            Dictionary from which to read the extensions.

        Returns
        -------
        List[str]
            A list of extension names.
        """"""
        # Prefer the plural key, fall back to the singular key
        raw = context.get(""extensions"", context.get(""extension"", []))

        # Ensure we have an iterable of strings
        if isinstance(raw, str):
            # Treat a single string as a single extension
            return [raw]
        try:
            # Try to iterate over the value
            extensions = list(raw)
        except TypeError:
            raise ValueError(
                f""Extensions value must be an iterable of strings, got {type(raw)!r}""
            )

        # Validate that each element is a string
        for ext in extensions:
            if not isinstance(ext, str):
                raise ValueError(
                    f""Each extension must be a string, got {type(ext)!r} in {extensions!r}""
                )

        return extensions
```"
21340,Delgan/loguru,loguru/_recattrs.py,loguru._recattrs.RecordFile,"class RecordFile:
    """"""A class representing a file record with name and path.

    Attributes
    ----------
    name : str
        The name of the file
    path : str
        The path to the file
    """"""
    __slots__ = ('name', 'path')

    def __init__(self, name, path):
        """"""Initialize a RecordFile instance.

        Parameters
        ----------
        name : str
            The name of the file
        path : str
            The path to the file
        """"""
        self.name = name
        self.path = path

    def __repr__(self):
        """"""Return string representation of RecordFile.

        Returns
        -------
        str
            Formatted string with name and path
        """"""
        return '(name=%r, path=%r)' % (self.name, self.path)

    def __format__(self, spec):
        """"""Format the RecordFile instance.

        Parameters
        ----------
        spec : str
            Format specification

        Returns
        -------
        str
            Formatted name according to specification
        """"""
        return self.name.__format__(spec)","class RecordFile:
    
    def __init__(self, name, path):
        
        pass
    def __repr__(self):
        
        pass
    def __format__(self, spec):
        
        pass",snippet_6,4,"```python
class RecordFile:
    def __init__(self, name, path):
        self.name = name
        self.path = path

    def __repr__(self):
        return f""RecordFile(name={self.name!r}, path={self.path!r})""

    def __format__(self, spec):
        """"""
        Format specifiers:
            ''  -> repr(self)
            'n' -> self.name
            'p' -> self.path
        Any other spec falls back to repr.
        """"""
        if spec == ""n"":
            return self.name
        if spec == ""p"":
            return self.path
        return repr(self)
```"
21341,Delgan/loguru,loguru/_recattrs.py,loguru._recattrs.RecordLevel,"class RecordLevel:
    """"""A class representing the logging level record with name, number and icon.

    Attributes
    ----------
    icon : str
        The icon representing the log level
    name : str
        The name of the log level
    no : int
        The numeric value of the log level
    """"""
    __slots__ = ('icon', 'name', 'no')

    def __init__(self, name, no, icon):
        """"""Initialize a RecordLevel instance.

        Parameters
        ----------
        name : str
            The name of the log level
        no : int
            The numeric value of the log level
        icon : str
            The icon representing the log level
        """"""
        self.name = name
        self.no = no
        self.icon = icon

    def __repr__(self):
        """"""Return string representation of RecordLevel.

        Returns
        -------
        str
            Formatted string with name, number and icon
        """"""
        return '(name=%r, no=%r, icon=%r)' % (self.name, self.no, self.icon)

    def __format__(self, spec):
        """"""Format the RecordLevel instance.

        Parameters
        ----------
        spec : str
            Format specification

        Returns
        -------
        str
            Formatted name according to specification
        """"""
        return self.name.__format__(spec)","class RecordLevel:
    
    def __init__(self, name, no, icon):
        
        pass
    def __repr__(self):
        
        pass
    def __format__(self, spec):
        
        pass",snippet_7,4,"```python
class RecordLevel:
    def __init__(self, name, no, icon):
        self.name = name
        self.no = no
        self.icon = icon

    def __repr__(self):
        return f""RecordLevel(name={self.name!r}, no={self.no!r}, icon={self.icon!r})""

    def __format__(self, spec):
        if not spec:
            return repr(self)

        spec = spec.lower()
        if spec in (""n"", ""name""):
            return str(self.name)
        if spec in (""i"", ""icon""):
            return str(self.icon)
        if spec in (""o"", ""no""):
            return str(self.no)
        if spec == ""repr"":
            return repr(self)

        raise ValueError(f""Unknown format specifier {spec!r}"")
```"
21342,Delgan/loguru,loguru/_recattrs.py,loguru._recattrs.RecordProcess,"class RecordProcess:
    """"""A class representing a process record with ID and name.

    Attributes
    ----------
    id : int
        The process ID
    name : str
        The process name
    """"""
    __slots__ = ('id', 'name')

    def __init__(self, id_, name):
        """"""Initialize a RecordProcess instance.

        Parameters
        ----------
        id_ : int
            The process ID
        name : str
            The process name
        """"""
        self.id = id_
        self.name = name

    def __repr__(self):
        """"""Return string representation of RecordProcess.

        Returns
        -------
        str
            Formatted string with id and name
        """"""
        return '(id=%r, name=%r)' % (self.id, self.name)

    def __format__(self, spec):
        """"""Format the RecordProcess instance.

        Parameters
        ----------
        spec : str
            Format specification

        Returns
        -------
        str
            Formatted ID according to specification
        """"""
        return self.id.__format__(spec)","class RecordProcess:
    
    def __init__(self, id_, name):
        
        pass
    def __repr__(self):
        
        pass
    def __format__(self, spec):
        
        pass",snippet_8,4,"```python
class RecordProcess:
    def __init__(self, id_, name):
        self.id_ = id_
        self.name = name

    def __repr__(self):
        return f""RecordProcess(id={self.id_!r}, name={self.name!r})""

    def __format__(self, spec):
        if spec == ""id"":
            return str(self.id_)
        if spec == ""name"":
            return str(self.name)
        if spec == ""full"":
            return f""{self.id_}:{self.name}""
        # Default formatting falls back to the repr
        return self.__repr__()
```"
21343,Delgan/loguru,loguru/_recattrs.py,loguru._recattrs.RecordThread,"class RecordThread:
    """"""A class representing a thread record with ID and name.

    Attributes
    ----------
    id : int
        The thread ID
    name : str
        The thread name
    """"""
    __slots__ = ('id', 'name')

    def __init__(self, id_, name):
        """"""Initialize a RecordThread instance.

        Parameters
        ----------
        id_ : int
            The thread ID
        name : str
            The thread name
        """"""
        self.id = id_
        self.name = name

    def __repr__(self):
        """"""Return string representation of RecordThread.

        Returns
        -------
        str
            Formatted string with id and name
        """"""
        return '(id=%r, name=%r)' % (self.id, self.name)

    def __format__(self, spec):
        """"""Format the RecordThread instance.

        Parameters
        ----------
        spec : str
            Format specification

        Returns
        -------
        str
            Formatted ID according to specification
        """"""
        return self.id.__format__(spec)","class RecordThread:
    
    def __init__(self, id_, name):
        
        pass
    def __repr__(self):
        
        pass
    def __format__(self, spec):
        
        pass",snippet_9,4,"```python
class RecordThread:
    def __init__(self, id_, name):
        self.id = id_
        self.name = name

    def __repr__(self):
        return f""RecordThread(id={self.id!r}, name={self.name!r})""

    def __format__(self, spec):
        # Default formatting: id followed by name
        if not spec:
            return f""{self.id} {self.name}""
        # If the spec is ""name"", return only the name
        if spec == ""name"":
            return f""{self.name}""
        # If the spec is ""id"", return only the id (formatted with the spec)
        if spec == ""id"":
            return f""{self.id}""
        # Try to format the id with the given spec (e.g., numeric formatting)
        try:
            return format(self.id, spec)
        except Exception:
            # Fallback to the default representation
            return f""{self.id} {self.name}""
```"
33971,Miserlou/Zappa,Miserlou_Zappa/zappa/asynchronous.py,zappa.asynchronous.LambdaAsyncResponse,"import json
import uuid

class LambdaAsyncResponse:
    """"""
    Base Response Dispatcher class
    Can be used directly or subclassed if the method to send the message is changed.
    """"""

    def __init__(self, lambda_function_name=None, aws_region=None, capture_response=False, **kwargs):
        """""" """"""
        if kwargs.get('boto_session'):
            self.client = kwargs.get('boto_session').client('lambda')
        else:
            self.client = LAMBDA_CLIENT
        self.lambda_function_name = lambda_function_name
        self.aws_region = aws_region
        if capture_response:
            if ASYNC_RESPONSE_TABLE is None:
                print(""Warning! Attempted to capture a response without async_response_table configured in settings (you won't capture async responses)."")
                capture_response = False
                self.response_id = 'MISCONFIGURED'
            else:
                self.response_id = str(uuid.uuid4())
        else:
            self.response_id = None
        self.capture_response = capture_response

    def send(self, task_path, args, kwargs):
        """"""
        Create the message object and pass it to the actual sender.
        """"""
        message = {'task_path': task_path, 'capture_response': self.capture_response, 'response_id': self.response_id, 'args': args, 'kwargs': kwargs}
        self._send(message)
        return self

    def _send(self, message):
        """"""
        Given a message, directly invoke the lamdba function for this task.
        """"""
        message['command'] = 'zappa.asynchronous.route_lambda_task'
        payload = json.dumps(message).encode('utf-8')
        if len(payload) > LAMBDA_ASYNC_PAYLOAD_LIMIT:
            raise AsyncException('Payload too large for async Lambda call')
        self.response = self.client.invoke(FunctionName=self.lambda_function_name, InvocationType='Event', Payload=payload)
        self.sent = self.response.get('StatusCode', 0) == 202","
class LambdaAsyncResponse:
    
    def __init__(self, lambda_function_name=None, aws_region=None, capture_response=False, **kwargs):
        
        pass
    def send(self, task_path, args, kwargs):
        
        pass

    def _send(self, message):
        
        pass",snippet_10,4,"```python
import json
import boto3
from botocore.exceptions import BotoCoreError, ClientError


class LambdaAsyncResponse:
    """"""
    Helper to invoke an AWS Lambda function asynchronously (or synchronously if requested).
    """"""

    def __init__(self, lambda_function_name=None, aws_region=None, capture_response=False, **kwargs):
        """"""
        Parameters
        ----------
        lambda_function_name : str, optional
            The name or ARN of the Lambda function to invoke.
        aws_region : str, optional
            AWS region where the Lambda function is deployed. If not provided, the default
            region configured in the environment or AWS SDK will be used.
        capture_response : bool, default False
            If True, the response payload from the Lambda invocation will be returned.
            If False, the invocation will be fire-and-forget (InvocationType='Event').
        **kwargs
            Additional keyword arguments passed to boto3.client() for Lambda.
        """"""
        if not lambda_function_name:
            raise ValueError(""lambda_function_name must be provided"")

        self.lambda_function_name = lambda_function_name
        self.aws_region = aws_region
        self.capture_response = capture_response

        # Create a Lambda client
        client_kwargs = {}
        if aws_region:
            client_kwargs['region_name'] = aws_region
        client_kwargs.update(kwargs)
        self.client = boto3.client('lambda', **client_kwargs)

    def send(self, task_path, args, kwargs):
        """"""
        Send a message to the Lambda function.

        Parameters
        ----------
        task_path : str
            Identifier for the task to be performed by the Lambda.
        args : list or tuple
            Positional arguments for the task.
        kwargs : dict
            Keyword arguments for the task.

        Returns
        -------
        str or None
            If capture_response is True, returns the decoded response payload.
            Otherwise, returns None.
        """"""
        message = {
            'task_path': task_path,
            'args': args,
            'kwargs': kwargs,
        }
        return self._send(message)

    def _send(self, message):
        """"""
        Internal method to invoke the Lambda function.

        Parameters
        ----------
        message : dict
            The payload to send to the Lambda function.

        Returns
        -------
        str or None
            If capture_response is True, returns the decoded response payload.
            Otherwise, returns None.
        """"""
        payload = json.dumps(message).encode('utf-8')
        invocation_type = 'RequestResponse' if self.capture_response else 'Event'

        try:
            response = self.client.invoke(
                FunctionName=self.lambda_function_name,
                InvocationType=invocation_type,
                Payload=payload,
            )
        except (BotoCoreError, ClientError) as exc:
            raise RuntimeError(f""Failed to invoke Lambda '{self.lambda_function_name}': {exc}"") from exc

        if self.capture_response:
            # The payload is a streaming body; read and decode it.
            try:
                response_payload = response['Payload'].read()
                if isinstance(response_payload, bytes):
                    response_payload = response_payload.decode('utf-8')
                return response_payload
            except Exception as exc:
                raise RuntimeError(f""Failed to read Lambda response payload: {exc}"") from exc

        return None
```"
44118,LonamiWebs/Telethon,LonamiWebs_Telethon/telethon/crypto/aesctr.py,telethon.crypto.aesctr.AESModeCTR,"import pyaes

class AESModeCTR:
    """"""Wrapper around pyaes.AESModeOfOperationCTR mode with custom IV""""""

    def __init__(self, key, iv):
        """"""
        Initializes the AES CTR mode with the given key/iv pair.

        :param key: the key to be used as bytes.
        :param iv: the bytes initialization vector. Must have a length of 16.
        """"""
        assert isinstance(key, bytes)
        self._aes = pyaes.AESModeOfOperationCTR(key)
        assert isinstance(iv, bytes)
        assert len(iv) == 16
        self._aes._counter._counter = list(iv)

    def encrypt(self, data):
        """"""
        Encrypts the given plain text through AES CTR.

        :param data: the plain text to be encrypted.
        :return: the encrypted cipher text.
        """"""
        return self._aes.encrypt(data)

    def decrypt(self, data):
        """"""
        Decrypts the given cipher text through AES CTR

        :param data: the cipher text to be decrypted.
        :return: the decrypted plain text.
        """"""
        return self._aes.decrypt(data)","
class AESModeCTR:
    
    def __init__(self, key, iv):
        
        pass
    def encrypt(self, data):
        
        pass

    def decrypt(self, data):
        
        pass",snippet_11,4,"```python
from cryptography.hazmat.primitives.ciphers import Cipher, algorithms, modes
from cryptography.hazmat.backends import default_backend


class AESModeCTR:
    """"""
    AES encryption/decryption in CTR mode.

    Parameters
    ----------
    key : bytes
        The AES key. Must be 16, 24, or 32 bytes long.
    iv : bytes
        The initial counter value (nonce). Must be 16 bytes long.
    """"""

    def __init__(self, key: bytes, iv: bytes):
        if not isinstance(key, (bytes, bytearray)):
            raise TypeError(""key must be bytes"")
        if not isinstance(iv, (bytes, bytearray)):
            raise TypeError(""iv must be bytes"")
        if len(key) not in (16, 24, 32):
            raise ValueError(""key must be 16, 24, or 32 bytes long"")
        if len(iv) != 16:
            raise ValueError(""iv must be 16 bytes long"")

        self._key = bytes(key)
        self._iv = bytes(iv)
        self._backend = default_backend()
        self._cipher = Cipher(algorithms.AES(self._key), modes.CTR(self._iv), backend=self._backend)

    def encrypt(self, data: bytes) -> bytes:
        """"""
        Encrypt data using AES-CTR.

        Parameters
        ----------
        data : bytes
            Plaintext data to encrypt.

        Returns
        -------
        bytes
            Ciphertext.
        """"""
        if not isinstance(data, (bytes, bytearray)):
            raise TypeError(""data must be bytes"")
        encryptor = self._cipher.encryptor()
        return encryptor.update(data) + encryptor.finalize()

    def decrypt(self, data: bytes) -> bytes:
        """"""
        Decrypt data using AES-CTR.

        Parameters
        ----------
        data : bytes
            Ciphertext data to decrypt.

        Returns
        -------
        bytes
            Plaintext.
        """"""
        if not isinstance(data, (bytes, bytearray)):
            raise TypeError(""data must be bytes"")
        decryptor = self._cipher.decryptor()
        return decryptor.update(data) + decryptor.finalize()
```"
44121,LonamiWebs/Telethon,LonamiWebs_Telethon/telethon/crypto/factorization.py,telethon.crypto.factorization.Factorization,"from random import randint

class Factorization:
    """"""
    Simple module to factorize large numbers really quickly.
    """"""

    @classmethod
    def factorize(cls, pq):
        """"""
        Factorizes the given large integer.

        Implementation from https://comeoncodeon.wordpress.com/2010/09/18/pollard-rho-brent-integer-factorization/.

        :param pq: the prime pair pq.
        :return: a tuple containing the two factors p and q.
        """"""
        if pq % 2 == 0:
            return (2, pq // 2)
        y, c, m = (randint(1, pq - 1), randint(1, pq - 1), randint(1, pq - 1))
        g = r = q = 1
        x = ys = 0
        while g == 1:
            x = y
            for i in range(r):
                y = (pow(y, 2, pq) + c) % pq
            k = 0
            while k < r and g == 1:
                ys = y
                for i in range(min(m, r - k)):
                    y = (pow(y, 2, pq) + c) % pq
                    q = q * abs(x - y) % pq
                g = cls.gcd(q, pq)
                k += m
            r *= 2
        if g == pq:
            while True:
                ys = (pow(ys, 2, pq) + c) % pq
                g = cls.gcd(abs(x - ys), pq)
                if g > 1:
                    break
        p, q = (g, pq // g)
        return (p, q) if p < q else (q, p)

    @staticmethod
    def gcd(a, b):
        """"""
        Calculates the Greatest Common Divisor.

        :param a: the first number.
        :param b: the second number.
        :return: GCD(a, b)
        """"""
        while b:
            a, b = (b, a % b)
        return a","
class Factorization:
    
    @classmethod
    def factorize(cls, pq):
        
        pass
    @staticmethod
    def gcd(a, b):
        
        pass",snippet_12,3,"```python
class Factorization:
    @classmethod
    def factorize(cls, pq):
        """"""Return the prime factorization of an integer as a list of primes.""""""
        n = pq
        if n <= 1:
            return []

        factors = []
        # Handle factor 2 separately to allow step of 2 later
        while n % 2 == 0:
            factors.append(2)
            n //= 2

        # Check odd factors up to sqrt(n)
        i = 3
        max_factor = int(n**0.5) + 1
        while i <= max_factor and n > 1:
            while n % i == 0:
                factors.append(i)
                n //= i
                max_factor = int(n**0.5) + 1
            i += 2

        # If remaining n is a prime > 1
        if n > 1:
            factors.append(n)

        return factors

    @staticmethod
    def gcd(a, b):
        """"""Return the greatest common divisor of a and b using Euclid's algorithm.""""""
        while b:
            a, b = b, a % b
        return abs(a)
```"
